,Number/Click,Time,Connection Status,COM,Voltage,City_Volt_1,City_Volt_2,City_Volt_3,Gen_Volt_1,Gen_Volt_2,Gen_Volt_3,Alarm,Condition,Remarks,COMName,RemoteIP
25,26,1526,Connceted,33,13.8V,215V,218V,217V,V,V,V,-,auto,MSTN_Dusheti_TV,33,10.170.5.120
26,27,-,Not Connceted,34,-,-,-,-,-,-,-,-,-,IMRT_Leghvani,34,10.170.12.15
27,28,1440,Connceted,36,14.4V,V,V,6V,230V,232V,230V,-,auto,KRTL_Tandzia_Senebi,36,10.170.3.24
28,29,-,Not Connceted,37,-,-,-,-,-,-,-,-,-,ADJR_Shubani,37,10.170.10.49
29,30,3826,Connceted,38,12.6V,V,V,V,V,V,V,-,auto,MSTN_Nichbisi,38,10.170.5.108
30,31,1665,Connceted,39,13.6V,218V,230V,229V,V,V,V,-,auto,KAKH_Tsivi,39,10.170.2.175
31,32,-,Not Connceted,41,-,-,-,-,-,-,-,-,-,ADJR_Gori_Shuakhevi,41,10.170.10.35
32,33,20357,Connceted,42,12.6V,V,V,V,V,V,V,-,auto,SHDK_Tkotsa,42,10.170.0.143
33,34,-,Not Connceted,43,-,-,-,-,-,-,-,-,-,TBLS_Didi_Lilo,43,10.170.7.14
34,35,-,Not Connceted,44,-,-,-,-,-,-,-,-,-,ADJR_Khikhadziri,44,10.170.10.44
35,36,11553,Connceted,45,13V,V,V,V,V,V,V,-,auto,SHDK_Abisi_Tseronisi,45,10.170.4.102
36,37,-,Not Connceted,46,-,-,-,-,-,-,-,-,-,IMRT_Khevi,46,10.170.12.16
37,38,-,Not Connceted,48,-,-,-,-,-,-,-,-,-,IMRT_Ghoresha,48,10.170.12.123
38,39,-,Not Connceted,49,-,-,-,-,-,-,-,-,-,RACH_Tkibuli_Pass,49,10.170.12.113
39,40,-,Not Connceted,54,-,-,-,-,-,-,-,-,-,IMRT_Sairme,54,10.170.16.24
40,41,-,Not Connceted,55,-,-,-,-,-,-,-,-,-,ADJR_Legva,55,10.170.18.21
41,42,-,Not Connceted,56,-,-,-,-,-,-,-,-,-,IMRT_Ukhuti,56,10.170.16.26
42,43,220,Connceted,57,13.7V,204V,231V,231V,V,V,V,-,auto,SJVH_Tabatskuri,57,10.170.0.102
43,44,767,Connceted,58,13.6V,214V,213V,213V,V,V,V,-,auto,MSTN_Siontgori,58,10.170.5.118
44,45,1866,Connceted,80,14.3V,V,V,V,230V,229V,230V,-,auto,SVAN_Etseri,80,10.170.15.140
45,46,479,Connceted,95,13.7V,V,V,V,V,V,V,WARNING : Service Request,auto,SVAN_Mulakhi,95,10.170.15.147
46,47,5086,Connceted,124,13.5V,235V,223V,235V,V,V,V,-,auto,TBLS_Tskneti_MNT,124,10.170.6.15
47,48,800,Connceted,35,12.8V,V,V,V,V,V,V,-,auto,SVAN_Ushguli,35,10.170.15.149
48,49,-,Not Connceted,120,-,-,-,-,-,-,-,-,-,IMRT_Jalaurta,120,10.170.12.19
49,50,599,Connceted,81,13.8V,220V,222V,216V,V,V,V,-,auto,SVAN_Becho,81,10.170.15.145
50,51,1369,Connceted,40,13.5V,126V,123V,126V,V,V,V,WARNING : Service Request,auto,SVAN_Mestia,40,10.170.15.144
51,52,1717,Connceted,6,12.3V,V,V,V,V,V,V,-,auto,SVAN_Nakra,6,10.170.15.142
52,53,14396,Connceted,88,13.9V,V,V,V,V,V,V,WARNING : Service Request,auto,SVAN_Tskhumari,88,10.170.15.151
53,54,9476,Connceted,152,13.7V,231V,230V,227V,V,V,V,-,auto,MSTN_Dusheti_MNT,152,10.170.5.119
54,55,5301,Connceted,150,13.6V,222V,224V,224V,V,V,V,-,auto,KRTL_Didi_Iraga,150,10.170.6.12
55,56,18778,Connceted,151,13.6V,213V,230V,209V,V,V,V,-,auto,MSTN_Chartali,151,10.170.5.122
56,57,1155,Connceted,148,13.6V,243V,244V,242V,V,V,V,-,auto,KRTL_Kirovka,148,10.170.3.53
57,58,-,Not Connceted,149,-,-,-,-,-,-,-,-,-,KRTL_Didi_Muganlo,149,10.170.3.52
58,59,7,Connceted,146,14.3V,V,V,V,229V,229V,232V,-,auto,KRTL_Shaumian_Modem,146,10.170.3.80
59,60,2165,Connceted,147,13.7V,237V,237V,237V,V,V,V,WARNING : Service Request,auto,SJVH_Khertvisi,147,10.170.0.84
60,61,-,Connceted,145,-,-,-,-,-,-,-,-,-,RACH_Likheti,145,10.170.13.85
61,62,77,Connceted,144,13.8V,213V,228V,213V,V,V,V,-,auto,MSTN_Tskhvarichamia,144,10.170.5.115
62,63,-,Not Connceted,141,-,-,-,-,-,-,-,-,-,IMRT_Khreiti,141,10.170.12.38
63,64,8428,Connceted,143,13.4V,227,217V,214V,V,V,V,-,auto,TBLS_Kojori_Qorogli,143,10.170.6.21
64,65,814,Connceted,142,12.7V,V,V,V,V,V,V,WARNING : Service Request,auto,SVAN_Idliani_1,142,10.170.15.117
65,66,384,Connceted,140,13.5V,223V,222V,220V,V,V,V,-,auto,KRTL_Tsalka_TV,140,10.170.3.112
66,67,444,Connceted,139,13.2V,231V,231V,231V,V,V,V,-,auto,MEGR_Sachino,139,10.170.13.39
67,68,2377,Connceted,4,13.4V,191V,190V,190V,V,V,V,-,auto,MSTN_Akhatani,4,10.170.5.112
68,69,376,Connceted,138,13.6V,244,245V,236V,V,V,V,-,auto,MEGR_Skuri,138,10.170.15.127
69,70,10885,Connceted,136,13.5V,221V,221V,221V,V,V,V,-,stop,MEGR_Jikhashkari,136,10.170.15.72
70,71,1970,Connceted,137,13.7V,221V,220V,220V,V,V,V,WARNING : Service Request,auto,MEGR_Khabume,137,10.170.13.29
71,72,221,Connceted,133,13.1V,249V,249V,249V,V,V,V,-,auto,MEGR_Darcheli,133,10.170.15.76
72,73,130,Connceted,131,13.8V,223V,224V,221V,V,V,V,-,auto,SVAN_Lentekhi,131,10.170.13.109
73,74,-,Connceted,135,-,-,-,-,-,-,-,-,-,IMRT_Satsire,135,10.170.13.81
74,75,877,Connceted,132,13.6V,228V,221V,239V,V,V,V,-,auto,MEGR_Lia_Modem,132,10.170.15.125
75,76,56,Connceted,129,13.5V,204V,235V,224V,V,V,V,-,auto,MEGR_Akhuti,129,10.170.15.132
76,77,121,Connceted,134,14.5V,232V,232V,233V,V,V,V,-,auto,MEGR_Chkhoria,134,10.170.15.74
77,78,-,Not Connceted,130,-,-,-,-,-,-,-,-,-,MEGR_Potskho,130,10.170.15.107
78,79,217,Connceted,128,13.6V,232V,233V,219V,V,V,V,-,auto,MSTN_Larsi,128,10.170.3.40
79,80,-,Not Connceted,126,-,-,-,-,-,-,-,-,-,IMRT_Korbouli,126,10.170.12.109
80,81,-,Not Connceted,127,-,-,-,-,-,-,-,-,-,IMRT_Tskhami,127,10.170.12.124
81,82,-,Not Connceted,125,-,-,-,-,-,-,-,-,-,IMRT_Lichi,125,10.170.12.14
82,83,97,Connceted,121,13.3V,245V,220V,235V,V,V,V,-,auto,MEGR_Nokalakevi,121,10.170.15.121
83,84,-,Not Connceted,123,-,-,-,-,-,-,-,-,-,IMRT_Chiatura_TV,123,10.170.12.107
84,85,-,Not Connceted,122,-,-,-,-,-,-,-,-,-,IMRT_Zodi,122,10.170.12.125
85,86,-,Not Connceted,119,-,-,-,-,-,-,-,-,-,IMRT_Shrosha,119,10.170.12.7
86,87,241,Connceted,118,14.7V,V,V,V,232V,232V,233V,-,auto,KRTL_Akhkerpi,118,10.170.3.97
87,88,1714,Connceted,116,13.8V,241V,254V,237V,V,V,V,-,auto,IMRT_Sochkheti,116,10.170.13.64
88,89,-,Not Connceted,113,-,-,-,-,-,-,-,-,-,IMRT_Gogni,113,10.170.16.13
89,90,38,Connceted,117,14.4V,V,V,V,232V,230V,234V,-,auto,KRTL_Chanakhchi,117,10.170.3.30
90,91,22875,Connceted,115,13.7V,224V,233V,236V,V,V,V,-,auto,IMRT_Kumistavi,115,10.170.13.49
91,92,1812,Connceted,114,13.8V,229V,234V,236V,V,V,V,-,auto,IMRT_Vakhani,114,10.170.0.88
92,93,42,Connceted,112,13.5V,243V,228V,252V,V,V,V,-,auto,MEGR_Khobi_Funicular,112,10.170.15.84
93,94,34,Connceted,111,13.6V,244,220V,223V,V,V,V,-,auto,IMRT_Ternali,111,10.170.13.20
94,95,-,Not Connceted,109,-,-,-,-,-,-,-,-,-,IMRT_Chishura,109,10.170.16.5
95,96,146,Connceted,110,13.8V,240V,240V,239V,V,V,V,-,auto,MEGR_Senaki_TV,110,10.170.15.40
96,97,1969,Connceted,77,13.6V,227,217V,206V,V,V,V,-,auto,IMRT_Gordi,77,10.170.13.18
97,98,1390,Connceted,108,13.2V,223V,220V,223V,V,V,V,-,auto,MEGR_Ledzadzame,108,10.170.15.38
98,99,-,Not Connceted,75,-,-,-,-,-,-,-,-,-,IMRT_Orpiri,75,10.170.13.41
99,100,1957,Connceted,79,12.6V,V,V,V,V,V,V,-,auto,KRTL_Kratikani_MNT,79,10.170.3.16
100,101,2712,Connceted,68,13.7V,233V,239V,233V,V,V,V,-,auto,SHDK_Kareli,68,10.170.4.125
101,102,-,Not Connceted,65,-,-,-,-,-,-,-,-,-,ADJR_Khulo_TV,65,10.170.10.39
102,103,-,Not Connceted,78,-,-,-,-,-,-,-,-,-,IMRT_Kharagauli_Qroli,78,10.170.12.36
103,104,-,Not Connceted,67,-,-,-,-,-,-,-,-,-,KAKH_Iormuganlo,67,10.170.1.75
104,105,10671,Connceted,63,13.2V,V,V,V,V,V,V,-,auto,SVAN_Idliani_2,63,10.170.15.94
105,106,-,Not Connceted,64,-,-,-,-,-,-,-,-,-,IMRT_Khani,64,10.170.16.6
106,107,-,Not Connceted,66,-,-,-,-,-,-,-,-,-,SJVH_Ninotsminda_MNT,66,10.170.0.133
107,108,938,Connceted,69,13V,V,V,V,V,V,V,-,auto,GURI_Chokhatauri,69,10.170.11.21
108,109,11809,Connceted,83,13.3V,233V,240V,241V,V,V,V,-,auto,IMRT_Mekvena,83,10.170.13.23
109,110,-,Not Connceted,71,-,-,-,-,-,-,-,-,-,IMRT_Alaverdi_TV,71,10.170.12.10
110,111,-,Not Connceted,70,-,-,-,-,-,-,-,-,-,IMRT_Bzvani,70,10.170.16.10
111,112,17569,Connceted,84,12.7V,V,V,V,V,V,V,-,auto,RACH_Tsageri_2,84,10.170.13.52
112,113,1178,Connceted,82,13.7V,238V,229V,230V,V,V,V,-,auto,RACH_Tskhukusheri,82,10.170.13.54
113,114,7676,Connceted,72,13.3V,220V,223V,199V,V,V,V,WARNING : Service Request,auto,KRTL_Amamlo,72,10.170.3.99
114,115,217,Connceted,86,13.3V,231V,221V,223V,V,V,V,-,auto,KRTL_Orbeti_Pantiani,86,10.170.3.121
115,116,10750,Connceted,11,12.8V,V,V,V,V,V,V,-,auto,SVAN_Jakhunderi,11,10.170.13.66
116,117,11195,Connceted,1,12.7V,V,231V,V,V,V,V,WARNING : Service Request,stop,RACH_Chrebalo,1,10.170.13.74
117,118,3519,Connceted,3,14.6V,V,V,V,230V,231V,228V,WARNING : Service Request,auto,IMRT_Vazisubani,3,10.170.9.207
118,119,9508,Connceted,52,13.8V,212V,212V,233V,V,V,V,WARNING : Service Request,auto,RACH_Chebi,52,10.170.13.76
119,120,-,Not Connceted,89,-,-,-,-,-,-,-,-,-,IMRT_GADIDI,89,10.170.9.201
120,121,411,Connceted,87,13.6V,208V,208V,208V,V,V,V,-,auto,KAKH_Omalo_Pankisi,87,10.170.2.174
121,122,21775,Connceted,60,13V,V,V,V,V,V,V,WARNING : Service Request,auto,SJVH_CHVINTA,60,10.170.0.52
122,123,1322,Connceted,59,13.6V,231V,226V,211V,V,V,V,WARNING : Service Request,auto,RACH_UTSERA,59,10.170.13.78
123,124,609,Connceted,76,13.8V,227,229V,228V,V,V,V,-,auto,KAKH_Sasadilo_Gombori,76,10.170.2.165
124,125,20600,Connceted,7,12.4V,V,V,V,V,V,V,|SHUTDOWN ALARM: Emergency Stop,stop,RACH_Tsageri,7,10.170.13.51
125,126,-,Not Connceted,92,-,-,-,-,-,-,-,-,-,KAKH_Tusheti,92,10.170.2.40
126,127,2840,Connceted,50,13.6V,219V,220V,220V,V,V,V,WARNING : Service Request,auto,RACH_Khotevi,50,10.170.13.83
127,128,877,Connceted,93,13.8V,224V,207V,207V,V,V,V,-,auto,SVAN_Mucdi,93,10.170.13.107
128,129,668,Connceted,51,13.7V,229V,214V,234V,V,V,V,"WARNING : Low Fuel Sender
SHUTDOWN ALARM: Low Fuel Level Sender",auto,RACH_Ambrolauri_TV,51,10.170.13.105
129,130,-,Not Connceted,47,-,-,-,-,-,-,-,-,-,GURI_Bakhmaro,47,10.170.9.199
130,131,60,Connceted,97,13.9V,236V,203V,203V,V,V,V,-,stop,SJVH_Aragva,97,10.170.0.104
131,132,10,Connceted,94,13.8V,219V,220V,217V,V,V,V,-,auto,KRTL_Dmanisi_TV,94,10.170.3.105
132,133,23700,Connceted,98,13.3V,219V,218V,226V,V,V,V,-,auto,SJVH_Baraleti,98,10.170.0.53
133,134,-,Not Connceted,99,-,-,-,-,-,-,-,-,-,IMRT_Tskaltashua,99,10.170.16.8
134,135,10844,Connceted,100,13.7V,235V,235V,234V,V,V,V,-,auto,SJVH_Kekhovani,100,10.170.0.42
135,136,6167,Connceted,101,13.8V,224V,230V,232V,V,V,V,-,auto,SJVH_Tsagveri,101,10.170.0.24
136,137,959,Connceted,91,13.5V,233V,240V,244V,V,V,V,-,auto,SJVH_Bakuriani_Kokhta,91,10.170.0.135
137,138,445,Connceted,102,13.7V,243V,239V,240V,V,V,V,-,auto,SJVH_Atskuri_MNT,102,10.170.0.85
138,139,0,Connceted,103,13.7V,229V,229V,234V,V,V,V,-,auto,SJVH_Sakire,103,10.170.0.83
139,140,177,Connceted,105,13.5V,209V,208V,209V,V,V,V,-,auto,MEGR_Didi_Chkoni,105,10.170.13.35
140,141,34351,Connceted,74,12.9V,V,V,V,V,V,V,-,auto,IMRT_Nunisi,74,10.170.0.92
141,142,1273,Connceted,104,13.7V,195V,197V,209V,V,V,V,-,auto,MEGR_Martvili,104,10.170.13.43
142,143,-,Not Connceted,106,-,-,-,-,-,-,-,-,-,MEGR_TSAISHI,106,10.170.15.66
143,144,-,Not Connceted,73,-,-,-,-,-,-,-,-,-,IMRT_Nadaburi,73,10.170.12.120
144,145,-,Not Connceted,62,-,-,-,-,-,-,-,-,-,ADJR_Sarpi,62,10.170.10.5
145,146,517,Connceted,107,13.7V,246V,247V,242V,V,V,V,-,auto,SJVH_Poka,107,10.170.0.82
146,147,-,Not Connceted,61,-,-,-,-,-,-,-,-,-,GURI_Surebi,61,10.170.11.14
147,148,942,Connceted,53,13.8V,225V,225V,226V,V,V,V,-,auto,RACH_Khonchiori,53,10.170.13.87
148,149,5890,Connceted,85,13.7V,241V,239V,241V,V,V,V,-,auto,SHDK_Khashuri_TV_Modem,85,10.170.0.6
149,150,-,Not Connceted,90,-,-,-,-,-,-,-,-,-,SHDK_Gomi_Modem_IP,90,10.170.4.18
150,151,27,Connceted,96,13.7V,227,217V,228V,V,V,V,-,auto,KRTL_Bolnisi_Modem,96,10.170.3.124
151,152,-,Not Connceted,157,-,-,-,-,-,-,-,-,-,IMRT_Rikoti_Modem,157,10.170.12.12
152,153,-,Not Connceted,18,-,-,-,-,-,-,-,-,-,SJVH_Bakuriani_park,18,10.170.0.119
153,154,7119,Connceted,155,13.5V,215V,245V,247V,V,V,V,-,auto,KAKH_Barjiskhevi,155,10.170.2.130
154,155,296,Connceted,156,13.3V,214V,214V,250V,V,V,V,-,auto,KRTL_Marneuli_MNT,156,10.170.3.117
155,156,177,Connceted,153,13.6V,234V,232V,231V,V,V,V,-,auto,KAKH_Darcheti,153,10.170.2.31
156,157,18435,Connceted,154,13.5V,228V,228V,227V,V,V,V,-,auto,KAKH_Shilda,154,10.170.2.58
157,158,1878,Connceted,158,13.6V,217V,230V,236V,V,V,V,"WARNING : Service Request
SHUTDOWN ALARM: Fail to Start",auto,MEGR_Napichkhovo_Modem,158,10.170.13.79
158,159,172,Connceted,159,13.7V,211V,210V,209V,V,V,V,-,auto,MSTN_Kvesheti_Modem,159,10.170.3.91
159,160,-,Not Connceted,160,-,-,-,-,-,-,-,-,-,TBLS_Kazreti_TV,160,10.170.6.24
