,Number/Click,Time,Connection Status,COM,Voltage,City_Volt_1,City_Volt_2,City_Volt_3,Gen_Volt_1,Gen_Volt_2,Gen_Volt_3,Alarm,Condition,Remarks,COMName,RemoteIP
32,33,20401,Connceted,42,12.9V,V,V,V,V,V,V,-,auto,SHDK_Tkotsa,42,10.170.0.143
33,34,-,Not Connceted,43,-,-,-,-,-,-,-,-,-,TBLS_Didi_Lilo,43,10.170.7.14
34,35,-,Not Connceted,44,-,-,-,-,-,-,-,-,-,ADJR_Khikhadziri,44,10.170.10.44
35,36,11598,Connceted,45,14.6V,V,V,V,231V,233V,233V,-,auto,SHDK_Abisi_Tseronisi,45,10.170.4.102
36,37,211,Connceted,46,14.4V,241V,241V,241V,V,V,V,-,auto,IMRT_Khevi,46,10.170.12.16
37,38,8138,Connceted,48,13V,V,V,V,V,V,V,-,auto,IMRT_Ghoresha,48,10.170.12.123
38,39,-,Not Connceted,49,-,-,-,-,-,-,-,-,-,RACH_Tkibuli_Pass,49,10.170.12.113
39,40,26699,Connceted,54,13.5V,222V,215V,215V,V,V,V,-,auto,IMRT_Sairme,54,10.170.16.24
40,41,-,Not Connceted,55,-,-,-,-,-,-,-,-,-,ADJR_Legva,55,10.170.18.21
41,42,480,Connceted,56,13.9V,218V,218V,218V,V,V,V,-,auto,IMRT_Ukhuti,56,10.170.16.26
42,43,224,Connceted,57,14.7V,V,V,V,234V,234V,233V,-,auto,SJVH_Tabatskuri,57,10.170.0.102
43,44,768,Connceted,58,13.6V,219V,206V,219V,V,V,V,-,auto,MSTN_Siontgori,58,10.170.5.118
44,45,1872,Connceted,80,13.6V,233V,226V,225V,V,V,V,-,auto,SVAN_Etseri,80,10.170.15.140
45,46,625,Connceted,95,14.6V,V,V,V,229V,228V,232V,-,auto,SVAN_Mulakhi,95,10.170.15.147
46,47,5086,Connceted,124,13.4V,232V,223V,236V,V,V,V,-,auto,TBLS_Tskneti_MNT,124,10.170.6.15
47,48,800,Connceted,35,13.7V,206V,206V,205V,V,V,V,-,auto,SVAN_Ushguli,35,10.170.15.149
48,49,1148,Connceted,120,13.7V,210V,210V,210V,V,V,V,-,auto,IMRT_Jalaurta,120,10.170.12.19
49,50,599,Connceted,81,13.8V,216V,216V,212V,V,V,V,-,auto,SVAN_Becho,81,10.170.15.145
50,51,1371,Connceted,40,13.5V,222V,227V,223V,V,V,V,WARNING : Service Request,auto,SVAN_Mestia,40,10.170.15.144
51,52,1772,Connceted,6,12.7V,V,V,V,V,V,V,WARNING : Service Request,auto,SVAN_Nakra,6,10.170.15.142
52,53,14399,Connceted,88,13.8V,212V,212V,212V,V,V,V,WARNING : Service Request,auto,SVAN_Tskhumari,88,10.170.15.151
53,54,-,Not Connceted,152,-,-,-,-,-,-,-,-,-,MSTN_Dusheti_MNT,152,10.170.5.119
54,55,5304,Connceted,150,13.6V,202V,221V,221V,V,V,V,-,auto,KRTL_Didi_Iraga,150,10.170.6.12
55,56,-,Not Connceted,151,-,-,-,-,-,-,-,-,-,MSTN_Chartali,151,10.170.5.122
56,57,1156,Connceted,148,13.5V,238V,240V,237V,V,V,V,-,auto,KRTL_Kirovka,148,10.170.3.53
57,58,-,Not Connceted,149,-,-,-,-,-,-,-,-,-,KRTL_Didi_Muganlo,149,10.170.3.52
58,59,10,Connceted,146,13.3V,239V,240V,240V,V,V,V,-,auto,KRTL_Shaumian_Modem,146,10.170.3.80
59,60,2165,Connceted,147,13.7V,236V,235V,236V,V,V,V,WARNING : Service Request,auto,SJVH_Khertvisi,147,10.170.0.84
60,61,652,Connceted,145,13.7V,240V,215V,246V,V,V,V,WARNING : Service Request,auto,RACH_Likheti,145,10.170.13.85
61,62,80,Connceted,144,13.8V,225V,239V,223V,V,V,V,-,auto,MSTN_Tskhvarichamia,144,10.170.5.115
62,63,197,Connceted,141,13.4V,215V,215V,215V,V,V,V,-,stop,IMRT_Khreiti,141,10.170.12.38
63,64,8428,Connceted,143,13.4V,223V,217V,215V,V,V,V,-,auto,TBLS_Kojori_Qorogli,143,10.170.6.21
64,65,877,Connceted,142,12.7V,V,V,V,V,V,V,-,auto,SVAN_Idliani_1,142,10.170.15.117
65,66,384,Connceted,140,13.5V,221V,222V,220V,V,V,V,-,auto,KRTL_Tsalka_TV,140,10.170.3.112
66,67,44,Connceted,139,13.2V,231V,230V,231V,V,V,V,-,auto,MEGR_Sachino,139,10.170.13.39
67,68,2380,Connceted,4,13.4V,215V,214V,214V,V,V,V,-,auto,MSTN_Akhatani,4,10.170.5.112
68,69,376,Connceted,138,14.3V,V,V,V,220V,221V,220V,-,auto,MEGR_Skuri,138,10.170.15.127
69,70,10885,Connceted,136,13.5V,211V,211V,211V,V,V,V,-,auto,MEGR_Jikhashkari,136,10.170.15.72
70,71,1977,Connceted,137,13.7V,216V,215V,216V,V,V,V,WARNING : Service Request,auto,MEGR_Khabume,137,10.170.13.29
71,72,221,Connceted,133,13.1V,251V,251V,251V,V,V,V,-,auto,MEGR_Darcheli,133,10.170.15.76
72,73,130,Connceted,131,13.8V,221V,223V,223V,V,V,V,-,auto,SVAN_Lentekhi,131,10.170.13.109
73,74,-,Connceted,135,-,-,-,-,-,-,-,-,-,IMRT_Satsire,135,10.170.13.81
74,75,883,Connceted,132,14.4V,V,V,V,235V,229V,236V,-,auto,MEGR_Lia_Modem,132,10.170.15.125
75,76,56,Connceted,129,13.5V,206V,230V,219V,V,V,V,-,auto,MEGR_Akhuti,129,10.170.15.132
76,77,121,Connceted,134,14.5V,V,V,V,227,220V,225V,-,auto,MEGR_Chkhoria,134,10.170.15.74
77,78,188,Connceted,130,13.7V,219V,218V,218V,V,V,V,-,auto,MEGR_Potskho,130,10.170.15.107
78,79,217,Connceted,128,13.6V,230V,238V,215V,V,V,V,-,auto,MSTN_Larsi,128,10.170.3.40
79,80,2379,Connceted,126,13.9V,202V,201V,201V,V,V,V,-,auto,IMRT_Korbouli,126,10.170.12.109
80,81,168,Connceted,127,13.4V,225V,212V,246V,V,V,V,-,auto,IMRT_Tskhami,127,10.170.12.124
81,82,4339,Connceted,125,13.6V,222V,222V,222V,V,V,V,-,auto,IMRT_Lichi,125,10.170.12.14
82,83,98,Connceted,121,13.3V,235V,211V,227V,V,V,V,-,auto,MEGR_Nokalakevi,121,10.170.15.121
83,84,110,Connceted,123,13.7V,226V,231V,231V,V,V,V,-,auto,IMRT_Chiatura_TV,123,10.170.12.107
84,85,-,Connceted,122,-,-,-,-,-,-,-,-,-,IMRT_Zodi,122,10.170.12.125
85,86,-,Not Connceted,119,-,-,-,-,-,-,-,-,-,IMRT_Shrosha,119,10.170.12.7
86,87,244,Connceted,118,13.5V,207V,206V,186V,V,V,V,-,auto,KRTL_Akhkerpi,118,10.170.3.97
87,88,1717,Connceted,116,13.7V,239V,248V,232V,V,V,V,-,auto,IMRT_Sochkheti,116,10.170.13.64
88,89,-,Connceted,113,-,-,-,-,-,-,-,-,-,IMRT_Gogni,113,10.170.16.13
89,90,41,Connceted,117,13.6V,218V,213V,249V,V,V,V,-,auto,KRTL_Chanakhchi,117,10.170.3.30
90,91,22877,Connceted,115,13.7V,219V,227V,232V,V,V,V,-,auto,IMRT_Kumistavi,115,10.170.13.49
91,92,1813,Connceted,114,13.7V,231V,236V,239V,V,V,V,-,auto,IMRT_Vakhani,114,10.170.0.88
92,93,43,Connceted,112,13.5V,236V,221V,251V,V,V,V,-,auto,MEGR_Khobi_Funicular,112,10.170.15.84
93,94,34,Connceted,111,13.6V,230V,222V,213V,V,V,V,-,auto,IMRT_Ternali,111,10.170.13.20
94,95,1465,Connceted,109,13.7V,229V,230V,238V,V,V,V,-,auto,IMRT_Chishura,109,10.170.16.5
95,96,146,Connceted,110,13.8V,236V,235V,234V,V,V,V,-,auto,MEGR_Senaki_TV,110,10.170.15.40
96,97,-,Not Connceted,77,-,-,-,-,-,-,-,-,-,IMRT_Gordi,77,10.170.13.18
97,98,-,Not Connceted,108,-,-,-,-,-,-,-,-,-,MEGR_Ledzadzame,108,10.170.15.38
98,99,-,Not Connceted,75,-,-,-,-,-,-,-,-,-,IMRT_Orpiri,75,10.170.13.41
99,100,2028,Connceted,79,12.7V,V,V,V,V,V,V,-,auto,KRTL_Kratikani_MNT,79,10.170.3.16
100,101,2713,Connceted,68,13.7V,231V,237V,231V,V,V,V,-,auto,SHDK_Kareli,68,10.170.4.125
101,102,118,Connceted,65,13.7V,214V,238V,226V,V,V,V,-,auto,ADJR_Khulo_TV,65,10.170.10.39
102,103,140,Connceted,78,13.8V,224V,225V,225V,V,V,V,-,auto,IMRT_Kharagauli_Qroli,78,10.170.12.36
103,104,-,Not Connceted,67,-,-,-,-,-,-,-,-,-,KAKH_Iormuganlo,67,10.170.1.75
104,105,10729,Connceted,63,14.5V,5V,V,V,227,219V,220V,-,auto,SVAN_Idliani_2,63,10.170.15.94
105,106,1296,Connceted,64,13.9V,223V,227V,227V,V,V,V,-,auto,IMRT_Khani,64,10.170.16.6
106,107,-,Not Connceted,66,-,-,-,-,-,-,-,-,-,SJVH_Ninotsminda_MNT,66,10.170.0.133
107,108,938,Connceted,69,13.6V,226V,212V,218V,V,V,V,-,auto,GURI_Chokhatauri,69,10.170.11.21
108,109,11810,Connceted,83,13.3V,230V,238V,238V,V,V,V,-,auto,IMRT_Mekvena,83,10.170.13.23
109,110,1071,Connceted,71,13.6V,232V,227V,230V,V,V,V,-,auto,IMRT_Alaverdi_TV,71,10.170.12.10
110,111,469,Connceted,70,13.3V,196V,195V,196V,V,V,V,-,auto,IMRT_Bzvani,70,10.170.16.10
111,112,17646,Connceted,84,12.9V,V,V,V,V,V,V,-,auto,RACH_Tsageri_2,84,10.170.13.52
112,113,1185,Connceted,82,13.7V,225V,229V,228V,V,V,V,-,auto,RACH_Tskhukusheri,82,10.170.13.54
113,114,7676,Connceted,72,13.3V,218V,222V,196V,V,V,V,WARNING : Service Request,auto,KRTL_Amamlo,72,10.170.3.99
114,115,221,Connceted,86,13.3V,231V,221V,222V,V,V,V,-,auto,KRTL_Orbeti_Pantiani,86,10.170.3.121
115,116,10838,Connceted,11,12.6V,V,V,V,V,V,V,WARNING : Service Request,auto,SVAN_Jakhunderi,11,10.170.13.66
116,117,11195,Connceted,1,13.6V,207V,223V,207V,V,V,V,WARNING : Service Request,auto,RACH_Chrebalo,1,10.170.13.74
117,118,3588,Connceted,3,12.7V,V,V,V,V,V,V,WARNING : Service Request,auto,IMRT_Vazisubani,3,10.170.9.207
118,119,9508,Connceted,52,13.8V,212V,212V,240V,V,V,V,WARNING : Service Request,auto,RACH_Chebi,52,10.170.13.76
119,120,11671,Connceted,89,13.6V,215V,215V,215V,V,V,V,SHUTDOWN ALARM: Emergency Stop,stop,IMRT_GADIDI,89,10.170.9.201
120,121,45,Connceted,87,13.6V,219V,210V,211V,V,V,V,-,auto,KAKH_Omalo_Pankisi,87,10.170.2.174
121,122,21839,Connceted,60,12.7V,V,V,V,V,V,V,-,auto,SJVH_CHVINTA,60,10.170.0.52
122,123,1323,Connceted,59,13.6V,230V,225V,220V,V,V,V,WARNING : Service Request,auto,RACH_UTSERA,59,10.170.13.78
123,124,609,Connceted,76,13.8V,222V,223V,222V,V,V,V,-,auto,KAKH_Sasadilo_Gombori,76,10.170.2.165
124,125,20600,Connceted,7,12.7V,V,V,V,V,V,V,SHUTDOWN ALARM: Emergency Stop,stop,RACH_Tsageri,7,10.170.13.51
125,126,-,Not Connceted,92,-,-,-,-,-,-,-,-,-,KAKH_Tusheti,92,10.170.2.40
126,127,2840,Connceted,50,13.6V,218V,220V,220V,V,V,V,WARNING : Service Request,auto,RACH_Khotevi,50,10.170.13.83
127,128,878,Connceted,93,13.8V,200V,218V,216V,V,V,V,-,auto,SVAN_Mucdi,93,10.170.13.107
128,129,668,Connceted,51,12.9V,V,V,V,V,V,V,"WARNING : Low Fuel Sender
SHUTDOWN ALARM: Low Fuel Level Sender",auto,RACH_Ambrolauri_TV,51,10.170.13.105
129,130,-,Not Connceted,47,-,-,-,-,-,-,-,-,-,GURI_Bakhmaro,47,10.170.9.199
130,131,60,Connceted,97,13.8V,224V,222V,222V,V,V,V,-,stop,SJVH_Aragva,97,10.170.0.104
131,132,10,Connceted,94,13.8V,218V,218V,216V,V,V,V,-,auto,KRTL_Dmanisi_TV,94,10.170.3.105
132,133,23700,Connceted,98,13.3V,222V,218V,229V,V,V,V,-,auto,SJVH_Baraleti,98,10.170.0.53
133,134,1201,Connceted,99,13.8V,228V,218V,224V,V,V,V,WARNING : Service Request,auto,IMRT_Tskaltashua,99,10.170.16.8
134,135,10860,Connceted,100,13.7V,229V,230V,229V,V,V,V,-,auto,SJVH_Kekhovani,100,10.170.0.42
135,136,6167,Connceted,101,13.7V,218V,225V,225V,V,V,V,-,auto,SJVH_Tsagveri,101,10.170.0.24
136,137,960,Connceted,91,13.5V,226V,248V,239V,V,V,V,-,auto,SJVH_Bakuriani_Kokhta,91,10.170.0.135
137,138,445,Connceted,102,13.7V,240V,239V,238V,V,V,V,-,auto,SJVH_Atskuri_MNT,102,10.170.0.85
138,139,0,Connceted,103,13.6V,224V,224V,232V,V,V,V,-,auto,SJVH_Sakire,103,10.170.0.83
139,140,177,Connceted,105,13.5V,203V,203V,203V,V,V,V,-,auto,MEGR_Didi_Chkoni,105,10.170.13.35
140,141,34408,Connceted,74,12.9V,V,V,V,V,V,V,-,auto,IMRT_Nunisi,74,10.170.0.92
141,142,1273,Connceted,104,13.7V,187V,191V,203V,V,V,V,-,auto,MEGR_Martvili,104,10.170.13.43
142,143,149,Connceted,106,13.1V,228V,230V,229V,V,V,V,-,auto,MEGR_TSAISHI,106,10.170.15.66
143,144,1146,Connceted,73,13.5V,213V,222V,226V,V,V,V,-,auto,IMRT_Nadaburi,73,10.170.12.120
144,145,-,Not Connceted,62,-,-,-,-,-,-,-,-,-,ADJR_Sarpi,62,10.170.10.5
145,146,517,Connceted,107,13.7V,247,246V,246V,V,V,V,-,auto,SJVH_Poka,107,10.170.0.82
146,147,16682,Connceted,61,13.3V,220V,219V,228V,V,V,V,SHUTDOWN ALARM: Fail to Start,auto,GURI_Surebi,61,10.170.11.14
147,148,943,Connceted,53,13.8V,210V,210V,210V,V,V,V,-,auto,RACH_Khonchiori,53,10.170.13.87
148,149,5890,Connceted,85,13.5V,235V,231V,236V,V,V,V,-,auto,SHDK_Khashuri_TV_Modem,85,10.170.0.6
149,150,-,Not Connceted,90,-,-,-,-,-,-,-,-,-,SHDK_Gomi_Modem_IP,90,10.170.4.18
150,151,2,Connceted,96,13.7V,223V,215V,224V,V,V,V,-,auto,KRTL_Bolnisi_Modem,96,10.170.3.124
151,152,4845,Connceted,157,13.7V,230V,230V,231V,V,V,V,-,auto,IMRT_Rikoti_Modem,157,10.170.12.12
152,153,-,Not Connceted,18,-,-,-,-,-,-,-,-,-,SJVH_Bakuriani_park,18,10.170.0.119
153,154,7119,Connceted,155,13.5V,218V,248V,238V,V,V,V,-,auto,KAKH_Barjiskhevi,155,10.170.2.130
154,155,297,Connceted,156,13.3V,201V,201V,246V,V,V,V,-,auto,KRTL_Marneuli_MNT,156,10.170.3.117
155,156,178,Connceted,153,13.7V,233V,230V,229V,V,V,V,-,auto,KAKH_Darcheti,153,10.170.2.31
156,157,18436,Connceted,154,13.5V,229V,229V,219V,V,V,V,-,auto,KAKH_Shilda,154,10.170.2.58
157,158,1879,Connceted,158,13.6V,218V,219V,215V,V,V,V,WARNING : Service Request,auto,MEGR_Napichkhovo_Modem,158,10.170.13.79
158,159,172,Connceted,159,13.7V,210V,210V,209V,V,V,V,-,auto,MSTN_Kvesheti_Modem,159,10.170.3.91
159,160,2314,Connceted,160,13.5V,231V,242V,230V,V,V,V,-,auto,TBLS_Kazreti_TV,160,10.170.6.24
160,161,-,Not Connceted,161,-,-,-,-,-,-,-,-,-,GURI_Lesa_Modem,161,10.170.15.82
