Name,IP,COM
SJVH_Aragva,10.170.0.104,COM97
KRTL_Dmanisi_TV,10.170.3.105,COM94
RACH_Khotevi,10.170.13.83,COM50
RACH_Ambrolauri_TV,10.170.13.105,COM51
SVAN_Mucdi,10.170.13.107,COM93
KAKH_Tusheti,10.170.2.40,COM92
GURI_Bakhmaro,10.170.9.199,COM47
RACH_UTSERA,10.170.13.78,COM59
SJVH_CHVINTA,10.170.0.52,COM60
RACH_Chebi,10.170.13.76,COM52
RACH_Chrebalo,10.170.13.74,COM1
IMRT_Vazisubani,10.170.9.207,COM3
IMRT_GADIDI,10.170.9.201,COM89
KAKH_Omalo_Pankisi,10.170.2.174,COM87
KRTL_Orbeti_Pantiani,10.170.3.121,COM86
SVAN_Jakhunderi,10.170.13.66,COM11
RACH_Tskhukusheri,10.170.13.54,COM82
RACH_Tsageri_2,10.170.13.52,COM84
RACH_Tsageri,10.170.13.51,COM7
IMRT_Mekvena,10.170.13.23,COM83
KRTL_Amamlo,10.170.3.99,COM72
IMRT_Alaverdi_TV,10.170.12.10,COM71
IMRT_Bzvani,10.170.16.10,COM70
GURI_Chokhatauri,10.170.11.21,COM69
SJVH_Ninotsminda_MNT,10.170.0.133,COM66
IMRT_Khani,10.170.16.6,COM64
SVAN_Idliani_2,10.170.15.94,COM63
KAKH_Iormuganlo,10.170.1.75,COM67
ADJR_Khulo_TV,10.170.10.39,COM65
IMRT_Kharagauli_Qroli,10.170.12.36,COM78
SHDK_Kareli,10.170.4.125,COM68
KRTL_Kratikani_MNT,10.170.3.16,COM79
KAKH_Sasadilo_Gombori,10.170.2.165,COM76
IMRT_Orpiri,10.170.13.41,COM75
IMRT_Gordi,10.170.13.18,COM77
MEGR_Ledzadzame,10.170.15.38,COM108
IMRT_Chishura,10.170.16.5,COM109
MEGR_Senaki_TV,10.170.15.40,COM110
IMRT_Ternali,10.170.13.20,COM111
MEGR_Khobi_Funicular,10.170.15.84,COM112
IMRT_Gogni,10.170.16.13,COM113
IMRT_Vakhani,10.170.0.88,COM114
IMRT_Kumistavi,10.170.13.49,COM115
IMRT_Sochkheti,10.170.13.64,COM116
KRTL_Chanakhchi,10.170.3.30,COM117
KRTL_Akhkerpi,10.170.3.97,COM118
IMRT_Shrosha,10.170.12.7,COM119
MEGR_Nokalakevi,10.170.15.121,COM121
IMRT_Zodi,10.170.12.125,COM122
IMRT_Chiatura_TV,10.170.12.107,COM123
IMRT_Lichi,10.170.12.14,COM125
IMRT_Korbouli,10.170.12.109,COM126
IMRT_Tskhami,10.170.12.124,COM127
MSTN_Larsi,10.170.3.40,COM128
MEGR_Akhuti,10.170.15.132,COM129
MEGR_Potskho,10.170.15.107,COM130
SVAN_Lentekhi,10.170.13.109,COM131
MEGR_Lia_Modem,10.170.15.125,COM132
MEGR_Chkhoria,10.170.15.74,COM134
MEGR_Darcheli,10.170.15.76,COM133
IMRT_Satsire,10.170.13.81,COM135
MEGR_Jikhashkari,10.170.15.72,COM136
MEGR_Khabume,10.170.13.29,COM137
MEGR_Skuri,10.170.15.127,COM138
MEGR_Sachino,10.170.13.39,COM139
KRTL_Tsalka_TV,10.170.3.112,COM140
IMRT_Khreiti,10.170.12.38,COM141
SVAN_Idliani_1,10.170.15.117,COM142
MSTN_Akhatani,10.170.5.112,COM4
TBLS_Kojori_Qorogli,10.170.6.21,COM143
MSTN_Tskhvarichamia,10.170.5.115,COM144
RACH_Likheti,10.170.13.85,COM145
KRTL_Shaumian_Modem,10.170.3.80,COM146
SJVH_Khertvisi,10.170.0.84,COM147
KRTL_Kirovka,10.170.3.53,COM148
KRTL_Didi_Muganlo,10.170.3.52,COM149
KRTL_Didi_Iraga,10.170.6.12,COM150
MSTN_Chartali,10.170.5.122,COM151
MSTN_Dusheti_MNT,10.170.5.119,COM152
SVAN_Tskhumari,10.170.15.151,COM88
SVAN_Nakra,10.170.15.142,COM6
SVAN_Mestia,10.170.15.144,COM40
SVAN_Becho,10.170.15.145,COM81
SVAN_Ushguli,10.170.15.149,COM35
SVAN_Mulakhi,10.170.15.147,COM95
IMRT_Jalaurta,10.170.12.19,COM120
TBLS_Tskneti_MNT,10.170.6.15,COM124
KAKH_Darcheti,10.170.2.31,COM153
KAKH_Shilda,10.170.2.58,COM154
KAKH_Barjiskhevi,10.170.2.130,COM155
KRTL_Marneuli_MNT,10.170.3.117,COM156
SJVH_Bakuriani_park,10.170.0.129,COM18
SVAN_Etseri,10.170.15.140,COM80
SHDK_Khashuri_TV_Modem,10.170.0.6,COM85
SHDK_Gomi_Modem,10.170.4.18,COM90
KRTL_Bolnisi_Modem,10.170.3.124,COM96
IMRT_Rikoti_Modem,10.170.12.12,COM157
MEGR_Napichkhovo_Modem,10.170.13.79,COM158
MSTN_Kvesheti_Modem,10.170.3.91,COM159
TBLS_Kazreti_TV,10.170.6.24,COM160
